,DRUG_NAME,COVID_1,COVID_2,COVID_3,COVID_4,COVID_5,COVID_6,COVID_7,COVID_8,COVID_9,COVID_10,COVID_11,COVID_12,COVID_13,COVID_14,COVID_15,COVID_16,COVID_17,COVID_18,COVID_19,COVID_20,COVID_21,COVID_22,COVID_23,COVID_24,COVID_25,COVID_26,COVID_27,COVID_28,COVID_29,COVID_30,COVID_31,COVID_32,COVID_33,IN_CLINICAL_TRIALS
10,(R)-warfarin,1.2639163732528687,1.032049536705017,0.84679114818573,0.967957079410553,1.1153032779693604,1.0541183948516846,1.0501512289047241,1.3255938291549683,0.6746374368667603,1.0206520557403564,0.6909568309783936,1.291265606880188,0.972035825252533,1.2276445627212524,0.9510420560836792,1.4125392436981201,0.4912208616733551,0.3449145555496216,0.8230893015861511,0.7744145393371582,1.0068551301956177,0.781218945980072,0.9122793078422546,1.2000541687011719,0.7378764748573303,0.5531457662582397,0.8798154592514038,0.5876532196998596,0.4125661551952362,0.760109007358551,0.8826867341995239,0.6546633839607239,0.8882136344909668,False
11,Dofetilide,0.47607260942459106,0.9984906911849976,0.9016211032867432,0.31372591853141785,0.4960910975933075,0.40911099314689636,0.24860124289989471,0.044394779950380325,-0.4541577994823456,0.16460277140140533,0.3202027678489685,0.49880266189575195,1.0140167474746704,0.5827629566192627,0.7973675727844238,0.4727363586425781,0.9695512056350708,0.38908347487449646,0.19351628422737122,0.16115158796310425,0.5810979008674622,0.549282431602478,0.4614575207233429,0.5792874097824097,0.9187666773796082,-0.1293146312236786,1.0393199920654297,0.7393131256103516,0.7899492979049683,0.30991479754447937,0.409441202878952,0.8777915835380554,0.7037004232406616,False
12,(S)-4-Nitrostyrene oxide,-1.0187910795211792,-1.3939632177352905,-1.2792465686798096,-1.2381967306137085,-1.0468449592590332,-2.2038655281066895,-2.3204727172851562,-0.7636485695838928,-1.1692253351211548,-1.167667031288147,-0.7833831310272217,-0.7637009024620056,-1.632920503616333,-0.9206479787826538,-0.649957001209259,-1.0365829467773438,-0.7815815210342407,-0.47284120321273804,-1.5019618272781372,-0.8243852853775024,-1.0864988565444946,-0.4057660400867462,-1.7367079257965088,-1.76969575881958,-0.6001707315444946,-1.4457327127456665,-0.5267786383628845,-0.83287513256073,-1.5798636674880981,-1.3644676208496094,-1.4260565042495728,-0.4783303737640381,-1.9518026113510132,False
13,Banoxantrone,0.2879953384399414,1.0785667896270752,0.44213348627090454,-0.09776926785707474,0.49268612265586853,0.4702884554862976,0.2433069944381714,0.35077816247940063,0.6108706593513489,0.42234474420547485,-0.04031713306903839,0.8535764813423157,0.9549554586410522,0.35106751322746277,0.273393839597702,0.9253273010253906,-0.13492371141910553,-0.8031158447265625,0.22779901325702667,1.9633715055533685e-05,0.9080578088760376,0.21609915792942047,0.4223753809928894,1.0452980995178223,0.3021097779273987,-0.48159751296043396,0.8116629123687744,0.6328486204147339,-0.03479108586907387,0.09667254984378815,-0.24185407161712646,-0.19230656325817108,1.0648486614227295,False
14,Calyculin A,0.4538487195968628,0.6336562633514404,0.8689906001091003,-0.21806876361370087,0.357776939868927,0.5981067419052124,0.36592698097229004,0.4354150891304016,-0.046192366629838943,-0.04763267934322357,0.386193186044693,0.15541477501392365,0.9610224962234497,0.00789202842861414,0.392234206199646,-0.12734690308570862,1.0041413307189941,0.5913589596748352,0.7458741068840027,0.053556691855192184,0.905537486076355,0.40926480293273926,0.5314753651618958,0.4391723871231079,0.14731909334659576,0.566426694393158,0.35857337713241577,0.48577266931533813,1.2182608842849731,0.3394147753715515,0.3131416141986847,0.5466506481170654,0.7785162925720215,False
15,Lopinavir,1.2335126399993896,1.8162286281585693,1.534085750579834,0.8818926215171814,1.072393536567688,1.3730798959732056,0.7819828987121582,1.1448931694030762,-0.0019307571928948164,1.4039520025253296,0.8187111616134644,1.5548756122589111,1.4931937456130981,1.560781478881836,1.0700877904891968,1.5377038717269897,0.957629382610321,0.409312903881073,0.7614160180091858,0.8094010353088379,1.6066051721572876,1.469314694404602,1.0861643552780151,1.3556718826293945,1.4101101160049438,-0.10887681692838669,1.7220371961593628,1.2467319965362549,0.9636772871017456,0.8283432722091675,0.6880891919136047,0.9575297832489014,1.3462426662445068,True
16,Creatine,0.7722979187965393,0.4839266836643219,1.1915433406829834,0.19012786448001862,0.6182515025138855,0.5532870888710022,0.5880427956581116,0.276854544878006,-0.21716995537281036,0.3066808581352234,1.1020758152008057,0.1389482170343399,0.6141278743743896,0.22082382440567017,0.49817195534706116,0.11917015165090561,1.005757212638855,1.1754103899002075,0.5362747311592102,0.894848644733429,0.4810684025287628,0.33571434020996094,0.38898152112960815,0.4323553740978241,0.34292668104171753,1.5594594478607178,0.1406441628932953,0.5381611585617065,1.2166337966918945,-0.03386108949780464,0.6761898398399353,0.5268086194992065,0.35641881823539734,False
17,Epofolate,0.7914162278175354,0.897637665271759,0.8965678215026855,0.26354464888572693,0.4929133653640747,0.6837208271026611,0.6314489841461182,0.7760841846466064,0.5645389556884766,0.33592984080314636,0.4521603286266327,0.7223371267318726,0.7717577815055847,0.546160876750946,0.6496720910072327,0.3650727868080139,0.7733443975448608,0.49616509675979614,0.5518803596496582,0.272945761680603,0.7215791940689087,0.48294976353645325,0.5668898820877075,0.6323773860931396,0.4592750370502472,0.7452529668807983,0.5138291716575623,0.3556857109069824,0.7293685674667358,0.4535014033317566,0.36705154180526733,0.4174187481403351,0.8348243236541748,False
18,Baloxavir marboxil,0.28731706738471985,1.8856093883514404,1.938960075378418,-0.5705524682998657,-0.7649624943733215,2.0455374717712402,0.19813703000545502,0.7549829483032227,0.5230161547660828,1.2761495113372803,-0.29522135853767395,1.0046756267547607,0.8124246001243591,0.6295653581619263,-1.104785442352295,0.2700420022010803,-0.5757322311401367,0.12614259123802185,-0.5802011489868164,-0.5148706436157227,1.7715470790863037,0.6754859089851379,0.5964234471321106,0.8218972682952881,0.2888224422931671,-0.9031942486763,0.5325032472610474,0.35998252034187317,0.7854152917861938,0.6205925345420837,-0.9489158987998962,-1.7485442161560059,0.9916328191757202,False
19,4-Methoxyamphetamine,0.2689962387084961,0.11914072185754776,0.5575871467590332,0.6973247528076172,0.9084741473197937,0.1778986155986786,0.6495355367660522,0.6851145625114441,0.4250756800174713,0.2800218164920807,0.5525655746459961,0.5568802356719971,0.31369391083717346,0.6562680006027222,0.765941321849823,0.834177553653717,0.15331530570983887,0.3999090790748596,0.31273454427719116,0.4134942889213562,-0.008341516368091106,0.13564792275428772,0.47133201360702515,0.35831418633461,0.7581930756568909,1.2588965892791748,0.339089959859848,0.16001838445663452,-0.09316979348659515,0.01677214913070202,0.5379353761672974,0.49708402156829834,0.09302500635385513,False
